operator,tier,stake_real_money,expected_stake_regression,regression_r2,deviation_pct,anomaly_score_if,stake_z_score,anomaly_flagged_by
OP_0005,very_high,1367194.18,2192001.2649968388,0.99718141510368,0.37628038731904123,-0.3902988459693045,-0.3456211849558237,none
OP_0005,very_high,1537499.0,1412776.6819279962,0.99718141510368,0.0882816935382859,-0.3875527833629093,-0.33974719671769565,none
OP_0005,very_high,1422517.84,2331995.73733581,0.99718141510368,0.38999981122385907,-0.3833568473708105,-0.34371301507472346,none
OP_0005,very_high,849558.0,2043646.3864209992,0.99718141510368,0.5842930530228297,-0.39335622392646996,-0.3634749886998958,none
OP_0005,very_high,524440.0,2654241.7166863964,0.99718141510368,0.8024143781996161,-0.43962153138131305,-0.37468864259415263,none
OP_0005,very_high,1282529.0,2529989.142538688,0.99718141510368,0.49306936601591056,-0.3606391323283998,-0.3485413740115356,none
OP_0005,very_high,393766.76,2101127.4827524098,0.99718141510368,0.812592637413805,-0.39732464210023744,-0.37919569691474136,none
OP_0005,very_high,939914.96,2198481.6970776166,0.99718141510368,0.5724708733079725,-0.37104036394303047,-0.3603584843034084,none
OP_0005,very_high,3479853.16,7494900.776230874,0.99718141510368,0.5357039053757839,-0.3666454516847396,-0.2727534058777238,none
OP_0005,very_high,1396389.1,2137689.542504359,0.99718141510368,0.34677647420958335,-0.3581000083771128,-0.34461422216585047,none
OP_0005,very_high,1356931.47,3885614.5447960338,0.99718141510368,0.6507807312443472,-0.41733392486678184,-0.34597515636914783,none
OP_0005,very_high,836067.53,2843083.505151658,0.99718141510368,0.7059293093273383,-0.42699794926829804,-0.3639402888722974,none
OP_0005,very_high,459420.98,0.0,0.99718141510368,0.0,-0.39039330447895537,-0.37693121540409785,none
OP_0005,very_high,4951111.49,4490222.512573281,0.99718141510368,0.10264279245319408,-0.34939053885253607,-0.22200819428789387,none
OP_0005,very_high,911060.0,1826345.5303040808,0.99718141510368,0.5011568266338345,-0.36098650446182373,-0.36135372152365647,none
OP_0005,very_high,1971240.24,1952667.2708927598,0.99718141510368,0.009511589293320126,-0.355780512236179,-0.3247870156602771,none
OP_0005,very_high,1725123.09,2924200.7269738875,0.99718141510368,0.4100531218370752,-0.3554085885527532,-0.33327584906089136,none
OP_0005,very_high,893231.0,3720206.223552541,0.99718141510368,0.7598974502152663,-0.4033589211830355,-0.3619686620538046,none
OP_0005,very_high,1324132.02,3731635.384041109,0.99718141510368,0.6451603965213626,-0.41162854806203997,-0.34710644310264765,none
OP_0005,very_high,829141.04,2192979.2080069236,0.99718141510368,0.6219111257541013,-0.35744813357894184,-0.3641791906296963,none
OP_0005,very_high,928292.0,2433394.794059913,0.99718141510368,0.6185197723501235,-0.37597853120732777,-0.3607593721369543,none
OP_0005,very_high,906136.71,1778964.6269468958,0.99718141510368,0.490638151948454,-0.35937643005162906,-0.36152353085467187,none
OP_0005,very_high,2631001.47,2823930.2274283366,0.99718141510368,0.06831923662789308,-0.35359503395978825,-0.30203117290143516,none
OP_0005,very_high,1370549.18,2360947.5950275697,0.99718141510368,0.41949190956777865,-0.3738974641461461,-0.3455054675584011,none
OP_0005,very_high,1422669.72,2895108.461151231,0.99718141510368,0.5085953638385349,-0.42272351159025817,-0.3437077765774595,none
OP_0005,very_high,1786125.62,4604478.732553966,0.99718141510368,0.6120895059473345,-0.4003979250679011,-0.3311718091181813,none
OP_0005,very_high,1759531.92,1904180.1934631164,0.99718141510368,0.07596354271496013,-0.35573185654199035,-0.33208905315747683,none
OP_0005,very_high,2727590.86,2218103.1294942796,0.99718141510368,0.2296952399241607,-0.3542781509519291,-0.29869970559012854,none
OP_0005,very_high,3451970.83,2657683.466492625,0.99718141510368,0.2988645463319999,-0.35332403638282867,-0.2737150960898482,none
OP_0005,very_high,2686414.71,2415892.5360386786,0.99718141510368,0.11197607920296596,-0.3535466200095107,-0.30011991331408727,none
OP_0005,very_high,1101644.9,2511432.8898768867,0.99718141510368,0.5613480637127422,-0.35728509398534497,-0.3547802524875786,none
OP_0005,very_high,1667650.13,4169221.498091165,0.99718141510368,0.6000092269591538,-0.40507996629460563,-0.33525815050749985,none
OP_0005,very_high,902726.19,2744191.7962749363,0.99718141510368,0.6710411454383791,-0.419942589186546,-0.36164116319394385,none
OP_0005,very_high,1577548.93,1713306.881672794,0.99718141510368,0.07923738188703605,-0.3555031316809929,-0.33836583347878174,none
OP_0005,very_high,11229705.76,3567751.239475441,0.99718141510368,2.1475585056908506,-0.36665720531628393,-0.005453026360420768,none
OP_0005,very_high,1454263.88,2624578.1754611675,0.99718141510368,0.4459056721583576,-0.36322875560932605,-0.3426180615345527,none
OP_0005,very_high,1583957.45,1703325.9282239093,0.99718141510368,0.07007964608885933,-0.3600112769839203,-0.3381447970389217,none
OP_0005,very_high,1045163.96,1710988.0579035073,0.99718141510368,0.3891459644197336,-0.3792399123621848,-0.3567283381450393,none
OP_0005,very_high,1197240.41,3507464.5412381887,0.99718141510368,0.6586592976425769,-0.398142199639628,-0.3514830651187311,none
OP_0005,very_high,506115.22,2472792.8945153244,0.99718141510368,0.7953264824067685,-0.44181851732724425,-0.37532068308593836,none
OP_0005,very_high,1672446.97,3420569.530778341,0.99718141510368,0.5110618407398843,-0.3551464422809816,-0.3350927025669179,none
OP_0005,very_high,2994271.86,2653849.1233611945,0.99718141510368,0.12827509056266462,-0.3569964552047352,-0.2895016038726773,none
OP_0005,very_high,1841168.13,2222248.9501536996,0.99718141510368,0.1714843065298074,-0.3559964601679211,-0.3292733363894761,none
OP_0005,very_high,1743693.0,2228123.488213111,0.99718141510368,0.21741635541107734,-0.35575288181588804,-0.3326353537835228,none
OP_0005,very_high,2714182.45,2694159.5271728896,0.99718141510368,0.007431973728787187,-0.3545814463531645,-0.2991621754288095,none
OP_0005,very_high,2096190.08,4523606.81147017,0.99718141510368,0.5366109020163183,-0.39753886599501614,-0.320477367286755,none
OP_0005,very_high,2146945.81,4012368.7032035193,0.99718141510368,0.4649181147570374,-0.41945668650776824,-0.3187267500051208,none
OP_0005,very_high,1673216.04,1988400.8959088544,0.99718141510368,0.15851172495312638,-0.36468731167480434,-0.33506617655236176,none
OP_0005,very_high,2236257.56,3559818.4900811976,0.99718141510368,0.3718057349747087,-0.3558304782804129,-0.31564629597553645,none
OP_0005,very_high,2420057.54,3195909.8054240034,0.99718141510368,0.24276413061071056,-0.3553976489955169,-0.30930684580208767,none
OP_0005,very_high,2467444.0,2549388.3931365972,0.99718141510368,0.03214276544021538,-0.3740714200004414,-0.30767243810483913,none
OP_0005,very_high,2249958.47,3162762.409489138,0.99718141510368,0.28860970926885954,-0.36262650714181927,-0.31517373751129774,none
OP_0005,very_high,889678.95,3602014.982520015,0.99718141510368,0.7530052056092311,-0.4013536184911869,-0.3620911759082055,none
OP_0005,very_high,4034906.16,5960570.603760226,0.99718141510368,0.323067130946393,-0.4066784292780842,-0.2536090575642839,none
OP_0005,very_high,1525100.0,2279442.6844615606,0.99718141510368,0.3309329467258563,-0.362984669135008,-0.3401748509682597,none
OP_0005,very_high,2473658.06,4255327.057112402,0.99718141510368,0.41869143621628335,-0.3618774892922883,-0.307458108790196,none
OP_0005,very_high,3838181.01,5062197.803454512,0.99718141510368,0.2417955285388545,-0.3550689428292896,-0.26039431013226155,none
OP_0005,very_high,2510498.31,5097284.84249265,0.99718141510368,0.5074832214453356,-0.36046203751182576,-0.3061874507125814,none
OP_0005,very_high,2485260.13,4261778.116599695,0.99718141510368,0.416849009496794,-0.36954834395878755,-0.3070579414742155,none
