operator,total_records,regression_anomalies,isolation_anomalies,total_anomalies,anomaly_rate
OP_0017,134,0,14,14,0.1044776119402985
OP_0022,163,0,17,17,0.10429447852760736
OP_0024,156,0,16,16,0.10256410256410256
OP_0025,147,0,15,15,0.10204081632653061
OP_0020,216,0,22,22,0.10185185185185185
OP_0001,266,0,27,27,0.10150375939849623
OP_0007,335,34,0,34,0.10149253731343283
OP_0013,247,0,25,25,0.10121457489878542
OP_0015,247,0,25,25,0.10121457489878542
OP_0028,119,0,12,12,0.10084033613445378
OP_0023,149,15,0,15,0.10067114093959731
OP_0005,378,38,0,38,0.10052910052910052
OP_0012,269,0,27,27,0.10037174721189591
OP_0004,588,59,0,59,0.10034013605442177
OP_0003,390,39,0,39,0.1
OP_0010,131,13,0,13,0.09923664122137404
OP_0009,333,29,0,29,0.08708708708708708
OP_0011,278,2,0,2,0.007194244604316547
OP_0016,235,1,0,1,0.00425531914893617
OP_0002,338,0,0,0,0.0
OP_0006,342,0,0,0,0.0
