timestamp_end,operator_id,game_name,fund_type,no_of_bets,stake_real_money,stake_free_money,payout_base_win,refund_total,adjustment_total,GGR,game_variant,total_transactions,movement_wager_amt,movement_win_amt,movement_refund_amt,movement_adjustment_amt,transaction_types,transaction_classes,game_id,game_category,game_type,operator,brand_id,currency_code,revenue_amt,bets_won_cnt,bets_refunded_cnt,bets_adjusted_cnt,forfeit_amt,network_adjust_amt,tax_player_income_amt,slip_issued_cnt,slip_unclaimed_cnt,slip_unclaimed_amt,slips_expired_cnt,slips_expired_amt,period_type,period_start,fip_period_type,fip_period_start,report_date_time,status_date_time,seq_number,last_report,partition_id,report_id,source_type,source_file
2024-12-30,UG-OP-SAH-51347,SaharaGames Sportsbook,RRI_realMoney,101.0,7081448.0,0.0,4291210.0,0.0,0.0,2790238.0,RRI_other,10,17259070.0,8721492.0,0.0,0.0,RRI_wager|RRI_baseGameWin,RRI_online,SaharaGames_sportsBook_v1.0,RRI_fixedOdds,RRI_sports,OP_0001,UG-SI-SAH-36976,UGX,2790238.0,14.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2024-12-30,,,2025-02-20T16:03:00Z,,1.0,,1,0657a344-413c-4ac3-9784-ebb0244471c4,gameSummary,UG-OP-SAH-51347_NLGRB-BM-50-252_20241230_004.zip
2024-12-30,UG-OP-SAH-51347,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,,,,,,OP_0001,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,,,,2025-02-17T16:03:00Z,,1.0,,1,0657a344-413c-4ac3-9784-ebb0244471c3,gameSummary,UG-OP-SAH-51347_NLGRB-BM-50-252_20241230_003.zip
2024-12-31,UG-OP-ABA-43787,AbaBet,RRI_realMoney,4707.0,12286002.0,0.0,9898330.06,157900.0,0.0,2229771.9399999995,RRI_none,4,15283924.0,9898330.06,157900.0,0.0,RRI_wager|RRI_refund|RRI_baseGameWin,RRI_online,UG-SI-ABA-04249,RRI_fixedOdds,CTG_multi,OP_0002,UG-SI-ABA-04249,UGX,2229771.94,502.0,15.0,0.0,0.0,0.0,1484749.509,,,,0.0,0.0,RRI_day,2024-12-31,,,2025-01-01T04:00:10+03:00,,1.0,true,1,0edfce1e-4e76-4eb0-bd2c-56dd10273cca,gameSummary,UG-OP-ABA-43787_NLGRB-BM-77-299_20241231_001.zip
2024-12-31,UG-OP-BET-07954,My Sportsbook,RRI_realMoney,833.0,122522.0,37300.0,4305.0,0.0,0.0,155517.0,RRI_other,6,280740.0,8610.0,0.0,0.0,RRI_wager|RRI_baseGameWin,RRI_online,ABC_sportsBook_v1.0,RRI_fixedOdds,RRI_sports,OP_0003,UG-SI-BET-09563,UGX,155517.0,7.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2024-12-31,,,2025-01-01T03:30:02Z,,1.0,true,1,74ba50f5-063d-43d2-8c4e-9fe7f1b2aef7,gameSummary,UG-OP-BET-07954_NLGRB-BM-33-762_20241231_001.zip
2024-12-31,UG-OP-ELD-17216,Action Hot 40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,412,79981363.98,65332287.3,0.0,0.0,RRI_wager|RRI_refund|RRI_jackpotContrib|RRI_baseGameWin,RRI_online,ActionHot40,RRI_casinoGame,RRI_slot,OP_0004,UG-SI-ELD-32120,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2024-12-31,,,2025-01-01T02:30:38Z,,1.0,,1,2DC60176-C8C9-4FB6-A320-6AA7ADD29CF4,gameSummary,UG-OP-ELD-17216_NLGRB-BM-35-093_20241231_001.zip
2024-12-31,UG-OP-ELD-17216,Any Sportsbook,RRI_realMoney,275.0,5526866.0,0.0,2533345.0,0.0,0.0,2993521.0,RRI_none,412,79981363.98,65332287.3,0.0,0.0,RRI_wager|RRI_refund|RRI_jackpotContrib|RRI_baseGameWin,RRI_online,Sportsbook,RRI_fixedOdds,CTG_multi,OP_0004,UG-SI-ELD-32120,UGX,0.0,36.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2024-12-31,,,2025-01-01T02:30:38Z,,1.0,,1,95517729-0709-4446-8F71-1BED93EF28CC,gameSummary,UG-OP-ELD-17216_NLGRB-BM-35-093_20241231_001.zip
2024-12-31,UG-OP-ENT-00042,40 Cash Bells,RRI_realMoney,2238.0,1367194.18,0.0,1487409.24,20199.99,0.0,-140415.05000000005,RRI_none,154,4092314.05,2571492.87,62254.09,0.0,RRI_wager|RRI_baseGameWin|RRI_refund,,fazi_40 Cash Bells,RRI_casinoGame,RRI_slot,OP_0005,UG-SI-ENT-00042,,-140415.05,445.0,60.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2024-12-31,,,2025-01-01T04:05:00.593Z,,1.0,true,1,02e9f92b-7ea3-4636-b343-4d1dd14c2b04,gameSummary,UG-OP-ENT-00042_NLGRB-BM-77-737_20241231_001.zip
2024-12-31,UG-OP-INT-00003,Sportsbook Parlay,RRI_realMoney,1604608.0,4340922672.62,0.0,1218366880.972,11800.0,0.0,3122543991.648,RRI_none,17,9286868381.17,5171091609.1449995,493526.71,0.0,RRI_wager|RRI_refund|RRI_baseGameWin,RRI_wager|RRI_refund|RRI_baseGameWin,BETPAWA_SPORTSBOOK_REAL_PARLAY,RRI_fixedOdds,CTG_multi,OP_0006,UG-SI-INT-00025,UGX,3122543991.648,84213.0,5.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2024-12-31,,,2025-01-01T00:30:00.532Z,,1.0,,1,7501698e-85e6-4a58-9ec2-bb627ca2eaa2,gameSummary,UG-OP-INT-00003_NLGRB-BM-09-322_20241231_001.zip
2024-12-31,UG-OP-INT-00003,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,,,,,,OP_0006,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,,,,2025-01-01T00:34:04.620Z,,1.0,,1,e420d7a3-a0cb-4d21-8560-26d035e1482c,gameSummary,UG-OP-INT-00003_NLGRB-CS-97-571_20241231_001.zip
2024-12-31,UG-OP-MAS-68621,apolloeuropeanroulette,RRI_realMoney,32490.0,98228565.0,0.0,94179477.0,0.0,0.0,4049088.0,RRI_none,422,2631871610.0,2467156426.0,0.0,0.0,RRI_wager|RRI_baseGameWin|RRI_refund|RRI_jackpotContrib,nan|RRI_online,apolloeuropeanroulette,RRI_casinoGame,RRI_roulette,OP_0007,UG-SI-MAS-49308,UGX,4049088.0,8660.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2024-12-31,,,2025-01-01T03:00:01Z,,1.0,true,1,07f37a7f-083f-405f-8b57-0dc19497d240,gameSummary,UG-OP-MAS-68621_NLGRB-BM-29-281_20241231_001.zip
