date,expected_GGR,was_interpolated,actual_GGR,is_missing,deviation,deviation_pct,day_of_week,is_weekend,is_anomaly,anomaly_score
2024-12-30,2790238.0,0,2790238.0,0,0.0,0.0,Monday,0,0,0.3410774516272993
2024-12-31,3134493737.5379996,0,3134493737.5379996,0,0.0,0.0,Tuesday,0,0,0.36538614706081746
2025-01-01,1324484758.0830002,0,1324484758.0830002,0,0.0,0.0,Wednesday,0,0,0.3369117732493431
2025-01-02,689647803.71,0,689647803.71,0,0.0,0.0,Thursday,0,0,0.33249250075809733
2025-01-03,341668774.1729999,0,341668774.1729999,0,0.0,0.0,Friday,0,0,0.3344738608044898
2025-01-04,1054617044.226,0,1054617044.226,0,0.0,0.0,Saturday,1,0,0.3920391739554122
2025-01-05,3294031360.0,0,3510390985.57,0,216359625.57000017,6.568232112095015,Sunday,1,0,0.449317715892515
2025-01-06,679437760.0,0,648598666.8969998,0,-30839093.103000164,-4.5389136310293035,Monday,0,0,0.3366745567904877
2025-01-07,106241672.0,0,61842319.75099978,0,-44399352.24900022,-41.790901266124855,Tuesday,0,0,0.35238456143835767
2025-01-08,669586368.0,0,737900013.0529999,0,68313645.05299985,10.202364970040707,Wednesday,0,0,0.33708382936739595
2025-01-09,1404198912.0,0,1472618769.051,0,68419857.05100012,4.872518876513709,Thursday,0,0,0.34019717188215515
2025-01-10,1275431552.0,0,1323089343.3279998,0,47657791.32799983,3.73660125102502,Friday,0,0,0.3383740756682118
2025-01-11,1001363008.0,0,978679372.232,0,-22683635.768000007,-2.265275987506821,Saturday,1,0,0.39388414136792566
2025-01-12,2648308992.0,0,2959945053.385999,0,311636061.3859992,11.76736031661668,Sunday,1,0,0.48645013651161007
2025-01-13,509766464.0,0,423607203.282,0,-86159260.718,-16.901712215811827,Monday,0,0,0.34720346262090807
2025-01-14,271348128.0,0,303209324.606,0,31861196.606000006,11.741815519729698,Tuesday,0,0,0.3385634585783052
2025-01-15,1108211456.0,0,1201159430.525,0,92947974.5250001,8.387205710766455,Wednesday,0,0,0.34473319138627867
2025-01-16,-12494902.0,0,-348267646.5410001,0,-335772744.5410001,2687.2779357613217,Thursday,0,1,0.6977802478914141
2025-01-17,1576161536.0,0,1720316282.343,0,144154746.34299994,9.145937332593297,Friday,0,0,0.3648917860465907
2025-01-18,1830102016.0,0,1871457185.642001,0,41355169.64200091,2.2597193643002313,Saturday,1,0,0.3975375679954781
2025-01-19,746571712.0,0,566121645.6839993,0,-180450066.3160007,-24.1704933920669,Sunday,1,0,0.462096532086895
2025-01-20,388645440.0,0,50754739.672999926,0,-337890700.3270001,-86.94060589698417,Monday,0,0,0.4350101013812808
2025-01-21,6730054.0,0,-57602183.506999984,0,-64332237.506999984,-955.8948190757457,Tuesday,0,0,0.5187182127213331
2025-01-22,-15131490.0,0,-323095335.327,0,-307963845.327,2035.2512893773185,Wednesday,0,1,0.6521967333934711
2025-01-23,1457479040.0,0,1607240285.229,0,149761245.2290001,10.275361848702818,Thursday,0,0,0.35941927656718636
2025-01-24,2473062656.0,0,2614627128.263,0,141564472.263,5.72425740688553,Friday,0,0,0.38121472867233336
2025-01-25,222313232.0,0,115900404.315,0,-106412827.685,-47.86616915586923,Saturday,1,0,0.4669133743890828
2025-01-26,1888633472.0,0,1894604386.853,0,5970914.852999926,0.31615000695063006,Sunday,1,0,0.39752336335887195
