date,GGR,num_operators,operators_list,num_reports,total_bets,total_stake,total_payout,modal_game_type,is_missing
2024-12-30,2790238.0,1,SAH,2,101,7081448.0,4291210.0,RRI_sports,0
2024-12-31,3134493737.5379996,9,"ABA,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",11,1645245,4463697751.8,1329014114.2719998,RRI_sports,0
2025-01-01,1324484758.0830002,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,989808,2864150884.73,1539373373.6469998,RRI_sports,0
2025-01-02,689647803.71,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,580974,1865427529.57,1175749834.8600001,RRI_sports,0
2025-01-03,341668774.1729999,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,542616,1882152803.04,1540380970.707,RRI_sports,0
2025-01-04,1054617044.226,9,"ABA,ABE,BET,ELD,INT,MAS,RUB,SAH,TIT",12,1980738,6354672285.97,5299793606.464,RRI_sports,0
2025-01-05,3510390985.57,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,2094543,6458193332.240001,2947673135.4700003,RRI_sports,0
2025-01-06,648598666.8969998,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,963741,2784358250.49,2135724767.583,RRI_sports,0
2025-01-07,61842319.75099978,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,754783,2426184003.33,2364248832.579,RRI_sports,0
2025-01-08,737900013.0529999,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,975805,3318074742.05,2580130226.997,RRI_sports,0
2025-01-09,1472618769.0509999,9,"ABA,ABE,BET,ELD,ENT,INT,RUB,SAH,TIT",12,879514,3116443665.23,1643770836.179,RRI_sports,0
2025-01-10,1323089343.3279998,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,1097983,3448671516.31,2125520767.9819999,RRI_sports,0
2025-01-11,978679372.2319999,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,1785375,6142272009.35,5162815504.118,CTG_multi,0
2025-01-12,2959945053.385999,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",15,2453874,7302648180.549999,4342585127.164,RRI_other,0
2025-01-13,423607203.282,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,887598,2792129443.95,2368485139.6679997,RRI_sports,0
2025-01-14,303209324.606,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",14,867495,3086669863.9900002,2783430638.3840003,RRI_other,0
2025-01-15,1201159430.525,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,1568109,5031229526.51,3830019845.9849997,RRI_sports,0
