operator,no_of_bets,game_type,stake_real_money,stake_free_money,movement_wager_amt,movement_win_amt,is_weekend
OP_0001,101.0,RRI_sports,7081448.0,0.0,17259070.0,8721492.0,0
OP_0002,4707.0,CTG_multi,12286002.0,0.0,15283924.0,9898330.06,0
OP_0003,833.0,RRI_sports,122522.0,37300.0,280740.0,8610.0,0
OP_0004,275.0,CTG_multi,5526866.0,0.0,79981363.98,65332287.3,0
OP_0005,2238.0,RRI_slot,1367194.18,0.0,4092314.05,2571492.87,0
OP_0006,1604608.0,CTG_multi,4340922672.62,0.0,9286868381.17,5171091609.1449995,0
OP_0007,32490.0,RRI_roulette,98228565.0,0.0,2631871610.0,2467156426.0,0
OP_0001,38.0,RRI_sports,5133630.0,0.0,11838112.0,6560492.0,0
OP_0009,56.0,RRI_sports,73000.0,0.0,0.0,0.0,0
OP_0002,8329.0,CTG_multi,21011986.0,0.0,23119949.0,12084410.3,0
OP_0003,1083.0,RRI_sports,109945.0,0.0,244020.0,218542.78,0
OP_0004,684.0,CTG_multi,7361837.91,0.0,35669171.82,25886927.16,0
OP_0005,1469.0,RRI_slot,1537499.0,0.0,4181931.87,2641420.16,0
OP_0006,946844.0,CTG_multi,2672959439.82,0.0,14878654945.26,11055935269.164,0
OP_0007,31161.0,RRI_roulette,154208508.0,0.0,1359181328.0,1221613996.0,0
OP_0001,80.0,RRI_sports,6745369.0,0.0,6787821.0,3164050.0,0
OP_0009,141.0,RRI_sports,216300.0,0.0,0.0,0.0,0
OP_0002,5825.0,CTG_multi,15346491.0,0.0,17628328.0,6139878.0,0
OP_0003,623.0,RRI_sports,346765.0,1600.0,753764.0,494297.62,0
OP_0004,791.0,CTG_multi,7286558.0,0.0,49853122.0,42324004.88,0
OP_0005,2400.0,RRI_slot,1422517.84,0.0,4354503.95,2955302.77,0
OP_0006,544960.0,CTG_multi,1737816046.73,0.0,6440988537.96,4720344142.156,0
OP_0007,26220.0,RRI_roulette,97020201.0,0.0,2449694652.0,2272698036.0,0
OP_0001,42.0,RRI_sports,6029850.0,0.0,12562216.0,7312082.0,0
OP_0009,82.0,RRI_sports,157500.0,0.0,0.0,0.0,0
OP_0002,7810.0,CTG_multi,21913863.0,0.0,26063944.0,13020408.93,0
OP_0003,1582.0,RRI_sports,369198.0,1100.0,957358.0,606706.0,0
OP_0004,1044.0,CTG_multi,8120344.05,0.0,49442852.1,38922605.06,0
OP_0005,2060.0,RRI_slot,849558.0,0.0,4032462.82,2356006.79,0
OP_0006,503649.0,CTG_multi,1757198764.99,0.0,8168782167.92,5466606227.558001,0
OP_0007,26201.0,RRI_roulette,88865003.0,0.0,1322406806.0,1159171977.0,0
OP_0001,66.0,RRI_sports,4471972.0,0.0,9044504.0,3141976.0,0
OP_0009,172.0,RRI_sports,363000.0,0.0,0.0,0.0,0
OP_0002,13531.0,CTG_multi,38378124.0,0.0,79981072.0,79563116.46,1
OP_0003,3248.0,RRI_sports,812138.0,27100.0,1027336.0,149064.0,1
OP_0004,1630.0,CTG_multi,18913821.27,0.0,86138774.96,69170333.52,1
OP_0006,1931369.0,CTG_multi,6198299921.7,0.0,28163400502.719997,20817613441.448,1
OP_0007,30512.0,RRI_roulette,90759192.0,0.0,2988528564.0,2678684014.0,1
OP_0001,117.0,RRI_sports,6900489.0,0.0,13810578.0,9485790.0,1
OP_0009,302.0,RRI_sports,581500.0,0.0,0.0,0.0,1
OP_0002,10474.0,CTG_multi,33481472.0,0.0,71327974.0,65572827.06,1
OP_0003,3070.0,RRI_sports,729845.0,0.0,752560.0,85245.0,1
OP_0004,1155.0,CTG_multi,15376535.81,0.0,60409551.620000005,49113912.239999995,1
OP_0005,1146.0,RRI_slot,524440.0,0.0,6746570.52,3316853.92,1
OP_0006,2046170.0,CTG_multi,6289532687.43,0.0,24910291411.12,14691725429.78,1
OP_0007,32126.0,RRI_roulette,114764479.0,0.0,3208620884.0,3006761758.0,1
OP_0001,86.0,RRI_sports,3384673.0,0.0,7319182.0,692320.0,1
OP_0009,221.0,RRI_sports,399200.0,0.0,0.0,0.0,1
OP_0002,6379.0,CTG_multi,20286231.0,0.0,42755400.0,31829734.5,0
OP_0003,709.0,RRI_sports,396018.0,0.0,822874.0,1172502.0,0
OP_0004,739.0,CTG_multi,8897462.27,0.0,26493433.09,21868031.35,0
OP_0005,2309.0,RRI_slot,1282529.0,0.0,8956688.66,6269014.88,0
OP_0006,925170.0,CTG_multi,2582418806.22,0.0,15378572067.039995,11748324161.155998,0
OP_0007,28251.0,RRI_roulette,165585296.0,0.0,2924117050.0,2761106142.0,0
OP_0001,49.0,RRI_sports,5318908.0,0.0,13035208.0,8933932.0,0
OP_0009,97.0,RRI_sports,173000.0,0.0,0.0,0.0,0
OP_0002,8205.0,CTG_multi,27517021.0,0.0,57971146.0,57249417.3,0
OP_0003,955.0,RRI_sports,255550.0,0.0,802416.0,318666.0,0
OP_0004,874.0,CTG_multi,8990662.55,0.0,37739067.55,35023019.169999994,0
OP_0005,1727.0,RRI_slot,393766.76,0.0,5783146.18,2276854.3600000003,0
OP_0006,706919.0,CTG_multi,2263380550.02,0.0,17844924788.780003,12897079510.428,0
OP_0007,35840.0,RRI_roulette,118251984.0,0.0,3058572134.0,2733339260.0,0
OP_0001,73.0,RRI_sports,7132969.0,0.0,14774988.0,7097456.0,0
OP_0009,134.0,RRI_sports,261500.0,0.0,0.0,0.0,0
OP_0002,8123.0,CTG_multi,24980908.0,0.0,52929156.0,50290903.94,0
OP_0003,1339.0,RRI_sports,263949.0,20000.0,583056.0,452771.7,0
