Feature,Normal_Mean,Anomaly_Mean,Normal_Std,Z_Diff
pct_RRI_landFixedOdds,0.005308254608275862,0.5085531730124164,0.07017444624347538,7.171341497417671
stake_deviation_pct,201.82747834834336,2250.086233030225,690.8370579065529,2.9648941544750516
efficiency_score,2.8983105936893416,23.500862330302247,6.950937366796053,2.9639961705063373
total_bets,70718.6591316025,804559.7330508474,261572.53963996124,2.805497377245076
total_stake,280571482.09609896,3071008190.750085,1023970483.3315854,2.725114399367289
GGR,54346638.22433684,710131200.0984153,387901963.6996143,1.690593560340696
stake_deviation,-4214956.891932439,113517316.15029305,96648550.87305163,1.2181483527556192
tier_Medium+,0.3068487018800358,0.6059322033898306,0.46123767216282147,0.6484368462518285
tier_Medium,0.21844225604297224,0.00423728813559322,0.4132353518681489,0.5183607039886691
pct_RRI_casinoGame,0.24260343769916942,0.05505612805029572,0.4286927742840233,0.4374865192493712
tier_Large,0.25111906893464636,0.06779661016949153,0.4337054087866254,0.422688892163081
tier_Top Tier,0.13137869292748433,0.2627118644067797,0.33785185946795054,0.3887300537167946
pct_RRI_fixedOdds,0.49828347331475703,0.3897805294457624,0.4997067760275129,0.2171332250716181
tier_Large+,0.09221128021486123,0.059322033898305086,0.2893563534729442,0.11366346693898119
pct_RRI_fantasy,0.05640107430617726,0.046610169491525424,0.23072040906259864,0.04243623203699932
pct_RRI_betExchange,0.0,0.0,0.0,
