date,operator,operator_tier,total_stake,total_bets,GGR,total_payout
2025-01-01,ABE,Large,0.0,17.0,0.0,0.0
2025-01-02,ABE,Large,0.0,31.0,0.0,0.0
2025-01-03,ABE,Large,0.0,32.0,0.0,0.0
2025-01-04,ABE,Large,0.0,29.0,0.0,0.0
2025-01-05,ABE,Large,0.0,95.0,0.0,0.0
2025-01-06,ABE,Large,0.0,38.0,0.0,0.0
2025-01-07,ABE,Large,0.0,56.0,0.0,0.0
2025-01-08,ABE,Large,0.0,29.0,0.0,0.0
2025-01-09,ABE,Large,0.0,16.0,0.0,0.0
2025-01-10,ABE,Large,0.0,28.0,0.0,0.0
2025-01-12,ABE,Large,0.0,22.0,0.0,0.0
2025-01-13,ABE,Large,0.0,21.0,0.0,0.0
2025-01-14,ABE,Large,0.0,29.0,0.0,0.0
2025-01-16,ABE,Large,0.0,15.0,0.0,0.0
2025-01-17,ABE,Large,0.0,16.0,0.0,0.0
2025-01-18,ABE,Large,0.0,20.0,0.0,0.0
2025-01-19,ABE,Large,0.0,22.0,0.0,0.0
2025-01-20,ABE,Large,0.0,124.0,0.0,0.0
2025-01-21,ABE,Large,0.0,14.0,0.0,0.0
2025-01-23,ABE,Large,0.0,17.0,0.0,0.0
2025-01-25,ABE,Large,0.0,15.0,0.0,0.0
2025-01-27,ABE,Large,0.0,14.0,0.0,0.0
2025-01-30,ABE,Large,0.0,13.0,0.0,0.0
2025-01-31,ABE,Large,0.0,13.0,0.0,0.0
2025-02-02,ABE,Large,0.0,59.0,0.0,0.0
2025-02-03,ABE,Large,0.0,19.0,0.0,0.0
2025-02-06,ABE,Large,0.0,11.0,0.0,0.0
2025-02-07,ABE,Large,0.0,14.0,0.0,0.0
2025-02-08,ABE,Large,0.0,8.0,0.0,0.0
2025-02-10,ABE,Large,0.0,16.0,0.0,0.0
2025-02-12,ABE,Large,0.0,17.0,0.0,0.0
2025-02-15,ABE,Large,0.0,21.0,0.0,0.0
2025-02-16,ABE,Large,0.0,82.0,0.0,0.0
2025-02-19,ABE,Large,0.0,6.0,0.0,0.0
2025-02-20,ABE,Large,0.0,11.0,0.0,0.0
2025-02-21,ABE,Large,0.0,10.0,0.0,0.0
2025-02-23,ABE,Large,0.0,48.0,0.0,0.0
2025-02-24,ABE,Large,0.0,16.0,0.0,0.0
2025-02-25,ABE,Large,0.0,19.0,0.0,0.0
2025-03-03,ABE,Large,0.0,12.0,0.0,0.0
2025-03-12,ABE,Large,0.0,10.0,0.0,0.0
2025-03-23,ABE,Large,0.0,10.0,0.0,0.0
2025-04-06,ABE,Large,0.0,8.0,0.0,0.0
2025-04-22,ABE,Large,0.0,10.0,0.0,0.0
2025-04-24,ABE,Large,0.0,5.0,0.0,0.0
2025-04-27,ABE,Large,0.0,2.0,0.0,0.0
2025-04-29,ABE,Large,0.0,12.0,0.0,0.0
2025-04-30,ABE,Large,0.0,9.0,0.0,0.0
2025-05-01,ABE,Large,0.0,6.0,0.0,0.0
2025-05-02,ABE,Large,0.0,12.0,0.0,0.0
2025-05-03,ABE,Large,0.0,9.0,0.0,0.0
2025-05-04,ABE,Large,0.0,9.0,0.0,0.0
2025-05-05,ABE,Large,0.0,44.0,0.0,0.0
2025-05-06,ABE,Large,0.0,28.0,0.0,0.0
2025-05-07,ABE,Large,0.0,20.0,0.0,0.0
2025-05-08,ABE,Large,0.0,16.0,0.0,0.0
2025-05-09,ABE,Large,0.0,13.0,0.0,0.0
2025-05-10,ABE,Large,0.0,16.0,0.0,0.0
2025-05-12,ABE,Large,0.0,61.0,0.0,0.0
2025-05-13,ABE,Large,0.0,20.0,0.0,0.0
2025-05-14,ABE,Large,0.0,16.0,0.0,0.0
2025-05-15,ABE,Large,0.0,18.0,0.0,0.0
2025-05-16,ABE,Large,0.0,16.0,0.0,0.0
2025-05-17,ABE,Large,0.0,22.0,0.0,0.0
2025-05-18,ABE,Large,0.0,12.0,0.0,0.0
2025-05-19,ABE,Large,0.0,48.0,0.0,0.0
2025-05-20,ABE,Large,0.0,17.0,0.0,0.0
2025-05-21,ABE,Large,0.0,17.0,0.0,0.0
2025-05-22,ABE,Large,0.0,24.0,0.0,0.0
2025-05-28,ABE,Large,0.0,23.0,0.0,0.0
2025-05-29,ABE,Large,0.0,15.0,0.0,0.0
2025-05-31,ABE,Large,0.0,13.0,0.0,0.0
2025-06-02,ABE,Large,0.0,11.0,0.0,0.0
2025-06-03,ABE,Large,0.0,15.0,0.0,0.0
2025-06-04,ABE,Large,0.0,10.0,0.0,0.0
2025-06-05,ABE,Large,0.0,13.0,0.0,0.0
2025-06-08,ABE,Large,0.0,56.0,0.0,0.0
2025-06-09,ABE,Large,0.0,21.0,0.0,0.0
2025-06-10,ABE,Large,0.0,25.0,0.0,0.0
2025-06-11,ABE,Large,0.0,21.0,0.0,0.0
2025-06-12,ABE,Large,0.0,17.0,0.0,0.0
2025-06-14,ABE,Large,0.0,15.0,0.0,0.0
2025-06-15,ABE,Large,0.0,20.0,0.0,0.0
2025-06-16,ABE,Large,0.0,22.0,0.0,0.0
2025-06-17,ABE,Large,0.0,44.0,0.0,0.0
2025-06-18,ABE,Large,0.0,12.0,0.0,0.0
2025-06-20,ABE,Large,0.0,15.0,0.0,0.0
2025-06-21,ABE,Large,0.0,18.0,0.0,0.0
2025-06-22,ABE,Large,0.0,16.0,0.0,0.0
2025-06-24,ABE,Large,0.0,63.0,0.0,0.0
2025-06-26,ABE,Large,0.0,15.0,0.0,0.0
2025-06-27,ABE,Large,0.0,12.0,0.0,0.0
2025-06-28,ABE,Large,0.0,16.0,0.0,0.0
2025-06-29,ABE,Large,0.0,37.0,0.0,0.0
2025-07-01,ABE,Large,0.0,19.0,0.0,0.0
2025-07-03,ABE,Large,0.0,12.0,0.0,0.0
2025-07-06,ABE,Large,0.0,36.0,0.0,0.0
2025-07-07,ABE,Large,0.0,359.0,0.0,0.0
2025-07-08,ABE,Large,0.0,13.0,0.0,0.0
2025-07-09,ABE,Large,0.0,14.0,0.0,0.0
2025-07-10,ABE,Large,0.0,14.0,0.0,0.0
2025-07-11,ABE,Large,0.0,16.0,0.0,0.0
2025-07-12,ABE,Large,0.0,12.0,0.0,0.0
2025-07-13,ABE,Large,0.0,32.0,0.0,0.0
2025-07-15,ABE,Large,0.0,15.0,0.0,0.0
2025-07-16,ABE,Large,0.0,10.0,0.0,0.0
2025-07-20,ABE,Large,0.0,38.0,0.0,0.0
2025-07-21,ABE,Large,0.0,15.0,0.0,0.0
2025-07-22,ABE,Large,0.0,7.0,0.0,0.0
2025-07-23,ABE,Large,0.0,157.0,0.0,0.0
2025-07-24,ABE,Large,0.0,14.0,0.0,0.0
2025-07-25,ABE,Large,0.0,13.0,0.0,0.0
2025-07-26,ABE,Large,0.0,9.0,0.0,0.0
2025-07-28,ABE,Large,0.0,11.0,0.0,0.0
2025-07-29,ABE,Large,0.0,11.0,0.0,0.0
2025-07-30,ABE,Large,0.0,11.0,0.0,0.0
2025-07-31,ABE,Large,0.0,10.0,0.0,0.0
2025-08-01,ABE,Large,0.0,12.0,0.0,0.0
2025-08-02,ABE,Large,0.0,14.0,0.0,0.0
2025-08-03,ABE,Large,0.0,33.0,0.0,0.0
2025-08-08,ABE,Large,0.0,6.0,0.0,0.0
2025-08-09,ABE,Large,0.0,10.0,0.0,0.0
2025-08-10,ABE,Large,0.0,28.0,0.0,0.0
2025-08-10,KIN,Micro,0.0,6631.0,0.0,0.0
2025-09-03,ABE,Large,0.0,1.0,0.0,0.0
2025-09-04,ABE,Large,0.0,1.0,0.0,0.0
2025-09-16,ABE,Large,0.0,11.0,0.0,0.0
2025-09-17,ABE,Large,0.0,10.0,0.0,0.0
2025-09-19,ABE,Large,0.0,2.0,0.0,0.0
2025-09-20,ABE,Large,0.0,1.0,0.0,0.0
2025-09-22,ABE,Large,0.0,96.0,0.0,0.0
2025-09-23,ABE,Large,0.0,2.0,0.0,0.0
2025-10-03,ABE,Large,0.0,1.0,0.0,0.0
2025-10-05,ABE,Large,0.0,1.0,0.0,0.0
2025-10-14,ABE,Large,0.0,4.0,0.0,0.0
2025-10-15,ABE,Large,0.0,10.0,0.0,0.0
2025-10-16,ABE,Large,0.0,12.0,0.0,0.0
2025-10-17,ABE,Large,0.0,6.0,0.0,0.0
2025-10-18,ABE,Large,0.0,20.0,0.0,0.0
2025-10-19,ABE,Large,0.0,5.0,0.0,0.0
2025-10-20,ABE,Large,0.0,103.0,0.0,0.0
2025-10-21,ABE,Large,0.0,9.0,0.0,0.0
2025-10-22,ABE,Large,0.0,12.0,0.0,0.0
2025-10-23,ABE,Large,0.0,19.0,0.0,0.0
2025-10-24,ABE,Large,0.0,12.0,0.0,0.0
2025-10-25,ABE,Large,0.0,15.0,0.0,0.0
2025-10-26,ABE,Large,0.0,14.0,0.0,0.0
2025-10-27,ABE,Large,0.0,47.0,0.0,0.0
2025-10-28,ABE,Large,0.0,12.0,0.0,0.0
2025-10-30,ABE,Large,0.0,12.0,0.0,0.0
2025-11-02,ABE,Large,0.0,57.0,0.0,0.0
2025-11-03,ABE,Large,0.0,12.0,0.0,0.0
2025-11-04,ABE,Large,0.0,23.0,0.0,0.0
2025-11-05,ABE,Large,0.0,13.0,0.0,0.0
2025-11-06,ABE,Large,0.0,26.0,0.0,0.0
2025-11-07,ABE,Large,0.0,14.0,0.0,0.0
2025-11-08,ABE,Large,0.0,32.0,0.0,0.0
2025-11-09,ABE,Large,0.0,13.0,0.0,0.0
2025-11-10,ABE,Large,0.0,79.0,0.0,0.0
2025-11-11,ABE,Large,0.0,19.0,0.0,0.0
2025-11-12,ABE,Large,0.0,15.0,0.0,0.0
2025-11-14,ABE,Large,0.0,17.0,0.0,0.0
2025-11-15,ABE,Large,0.0,16.0,0.0,0.0
2025-11-16,ABE,Large,0.0,57.0,0.0,0.0
2025-11-17,ABE,Large,0.0,122.0,0.0,0.0
2025-11-18,ABE,Large,0.0,16.0,0.0,0.0
2025-11-20,ABE,Large,0.0,35.0,0.0,0.0
2025-11-21,ABE,Large,0.0,40.0,0.0,0.0
2025-11-22,ABE,Large,0.0,43.0,0.0,0.0
2025-11-23,ABE,Large,0.0,118.0,0.0,0.0
2025-11-24,ABE,Large,0.0,29.0,0.0,0.0
2025-11-25,ABE,Large,0.0,23.0,0.0,0.0
2025-11-26,ABE,Large,0.0,20.0,0.0,0.0
2025-11-27,ABE,Large,0.0,20.0,0.0,0.0
2025-11-28,ABE,Large,0.0,33.0,0.0,0.0
2025-11-29,ABE,Large,0.0,37.0,0.0,0.0
2025-11-30,ABE,Large,0.0,24.0,0.0,0.0
2025-12-01,ABE,Large,0.0,84.0,0.0,0.0
2025-12-02,ABE,Large,0.0,24.0,0.0,0.0
2025-12-02,BET,Small,0.0,22.0,0.0,0.0
2025-12-03,ABE,Large,0.0,25.0,0.0,0.0
2025-12-03,BET,Small,0.0,18.0,0.0,0.0
2025-12-04,BET,Small,0.0,20.0,0.0,0.0
2025-12-05,ABE,Large,0.0,30.0,0.0,0.0
2025-12-05,BET,Small,0.0,5.0,0.0,0.0
2025-12-06,ABE,Large,0.0,30.0,0.0,0.0
2025-12-06,BET,Small,0.0,35.0,0.0,0.0
2025-12-07,BET,Small,0.0,42.0,0.0,0.0
