tier,feature_set,n_features,train_r2,test_r2,test_mae,test_rmse,test_mape
Top Tier,baseline,1,0.21121367710873462,-0.07518886178558115,2482053576.9223037,3539236149.1233573,33.72157198039819
Top Tier,ar_only,3,0.6867456986456858,0.2152000395018695,2285636208.3542967,3023755344.600425,37.65628291192335
Top Tier,bets_only,3,0.9335530111007165,0.7699142544250452,1322929494.0647874,1637238767.7733645,17.068367203319223
Top Tier,ar_bets,6,0.957265288774816,0.9185337697203154,756763858.1926354,974217604.0731318,11.927452590142199
Top Tier,full,10,0.9606920563940043,0.9201770371429299,752521579.344939,964342005.8901062,11.741338001460043
Large+,baseline,1,0.24250693481252616,-0.24981131867129402,130819730.16078559,171312153.40645105,29.48856944114616
Large+,ar_only,3,0.3280310669178439,0.16816137693083244,111568498.64797664,139760835.4633153,27.90082109723472
Large+,bets_only,3,0.8115756040848389,0.8422543891992127,46568608.46636406,60861771.547200605,12.998021153468239
Large+,ar_bets,6,0.8511220254252375,0.8813838355882545,38630944.20215509,52776171.91568423,10.440811911729933
Large+,full,10,0.8550871940581699,0.8729853021434592,40607964.77104419,54612610.59893839,10.954001554260984
Large,baseline,1,0.60861243200987,0.8560504510861451,31253578.72474414,43164093.8937157,34.03100346171735
Large,ar_only,3,0.6715085318355433,0.903310993761246,27199277.74866178,35375779.86533555,40.11499665485572
Large,bets_only,3,0.8098023287030909,0.9739425662502518,13764948.938641636,18364677.05205061,16.12686491640761
Large,ar_bets,6,0.8816472466315786,0.9909258480484148,8675648.380560856,10837285.088232597,13.227608431560862
Large,full,10,0.8861626675088291,0.9903600826565878,8967056.333962662,11170024.597601922,14.299735496714948
Medium+,baseline,1,0.7445322733349908,-14.503181911030266,88899887.14367972,91704327.21413751,206.99214764021008
Medium+,ar_only,3,0.8097759810148755,-20.972570180459986,53992694.00615943,109174154.61789154,138.70027439372242
Medium+,bets_only,3,0.9539694430732308,0.5842852105247299,11246152.00517135,15016791.302777179,17.875733262411377
Medium+,ar_bets,6,0.9573673063755843,0.7353333617669311,8265037.663080059,11981991.524689214,13.57018223365297
Medium+,full,10,0.9576358097919704,-5.920986851371073,60087678.518079795,61272192.31200146,135.46298264852314
Medium,baseline,1,0.6302392348548336,0.13949437869054804,695164.705653095,1477325.842947378,982.9717155996692
Medium,ar_only,3,0.6925893101707756,0.34894537890955213,605117.0474314442,1285014.866401679,795.0069179974934
Medium,bets_only,3,0.09748348186757039,-0.05169493539894754,1277425.1026674863,1633218.649478666,1361.2064033265115
Medium,ar_bets,6,0.7260248427831045,0.40199189383550327,546926.2596435654,1231552.626220422,366.0824112494355
Medium,full,10,0.7373216507727027,0.46950957831073203,588064.1821612538,1159947.1778642994,677.7331315214965
