operator,tier,payout_base_win,predicted_payout,regression_r2,deviation_pct,anomaly_score_if,payout_z_score,no_of_bets,stake_real_money,stake_free_money,refund_total,adjustment_total,revenue_amt,movement_wager_amt,movement_win_amt,movement_refund_amt,movement_adjustment_amt,game_type,is_weekend,anomaly_flagged_by
OP_0028,noise,2530.0,809279.2756888564,1.0,0.9968737615357239,-0.6638856512359728,-0.6046350422424576,4.0,4000.0,0.0,0.0,0.0,1470.0,8000.0,5060.0,0.0,0.0,RRI_sports,0,isolation_forest
OP_0028,noise,708776.0,-2663278.448694978,1.0,0.0,-0.6584164932802479,6.123973506001347,9.0,513228.0,0.0,0.0,0.0,-195548.0,3079720.0,3591436.0,0.0,0.0,CTG_multi,1,isolation_forest
OP_0028,noise,0.0,810993.2086233874,1.0,1.0,-0.6679267682152876,-0.6287390791177911,2.0,45000.0,0.0,0.0,0.0,45000.0,90000.0,0.0,0.0,0.0,RRI_sports,0,isolation_forest
OP_0028,noise,67428.0,1225004.599883325,1.0,0.9449569413809368,-0.6902811874586849,0.013666849115407002,20.0,1065391.0,0.0,0.0,0.0,997963.0,4211446.0,165024.0,0.0,0.0,CTG_multi,0,isolation_forest
OP_0028,noise,627050.0,-2881737.2585012633,1.0,0.0,-0.6244957576471358,5.345346423916955,71.0,680813.0,0.0,0.0,0.0,53763.0,683313.0,628050.0,0.0,0.0,CTG_multi,1,isolation_forest
OP_0028,noise,703541.0,-2808031.593495369,1.0,0.0,-0.578511620020991,6.074098156972742,45.0,373520.0,0.0,0.0,0.0,-330021.0,952354.0,1559912.0,0.0,0.0,CTG_multi,1,isolation_forest
OP_0028,noise,775570.0,-2757722.8695863523,1.0,0.0,-0.6126297714528267,6.760339134084758,37.0,275450.0,0.0,0.0,0.0,-500120.0,1704500.0,2449940.0,0.0,0.0,CTG_multi,1,isolation_forest
OP_0028,noise,492930.0,-3056871.9160329904,1.0,0.0,-0.5412440998393427,4.067546650905202,32.0,430561.0,0.0,0.0,0.0,-62369.0,2257866.0,2069860.0,0.0,0.0,CTG_multi,1,isolation_forest
OP_0028,noise,366350.0,1838798.6377361477,1.0,0.8007666568368601,-0.5806891683792552,2.8615826241543236,40.0,610755.0,0.0,0.0,0.0,244405.0,2513734.0,1305720.0,0.0,0.0,CTG_multi,0,isolation_forest
OP_0028,noise,718135.0,2306938.3518996756,1.0,0.6887064626548676,-0.5739930547212561,6.213139387865476,58.0,710111.0,0.0,0.0,0.0,-8024.0,1595411.0,1351720.0,0.0,0.0,CTG_multi,0,isolation_forest
OP_0028,noise,722636.0,2451908.341657912,1.0,0.7052760954712631,-0.601621419354551,6.2560217080140434,49.0,847583.0,0.0,0.0,0.0,124947.0,1570083.0,1549636.0,0.0,0.0,CTG_multi,0,isolation_forest
OP_0028,noise,1567721.0,-1895964.197482787,1.0,0.0,-0.783300101947683,14.307389298050113,72.0,1130347.0,0.0,0.0,0.0,-437374.0,4458750.0,4792336.0,0.0,0.0,CTG_multi,1,isolation_forest
OP_0005,noise,34213281.76,60891429.22924955,1.0,0.43812647866761767,-0.5831154464514244,4.978791338479511,3144.0,35102035.15,0.0,464300.0,0.0,424453.39,77990599.72,73307596.2,1025168.2,0.0,RRI_slot,1,isolation_forest
OP_0005,noise,34198384.4,71019080.34075688,1.0,0.5184620212496047,-0.5822511110791331,4.976208254515389,2446.0,34925571.48,0.0,578050.0,0.0,149137.08,90678231.02,88805423.16,1254468.2000000002,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,56906981.52,39755539.218383536,1.0,0.4314227058373137,-0.6240670987223019,8.91369872721547,57302.0,60818451.97,0.0,433365.11,0.0,3478105.34,318157228.20000005,306426024.3000001,3470726.42,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,46852306.99,27052451.022198867,1.0,0.7319061755828944,-0.5974185567407515,7.170297980847605,11712.0,47426931.59,0.0,209954.0,0.0,364670.6,120649249.16,113808053.74,3985924.2,0.0,RRI_slot,1,isolation_forest
