operator,tier,r2_score,n_samples
OP_0028,noise,1.0,119
OP_0005,noise,1.0,378
OP_0024,noise,1.0,156
OP_0007,noise,1.0,335
OP_0009,zero,1.0,333
OP_0023,noise,1.0,149
OP_0011,noise,1.0,278
OP_0002,low,1.0,338
OP_0013,noise,1.0,247
OP_0016,low,1.0,235
OP_0017,zero,1.0,134
OP_0020,mid,0.999999999999974,216
OP_0022,noise,0.9999999998973431,163
OP_0025,noise,0.9999994702234222,147
OP_0003,noise,0.9999851678997542,390
OP_0001,noise,0.9999842940039617,266
OP_0010,mid,0.9957862393409151,131
OP_0015,noise,0.9924110287781053,247
OP_0004,noise,0.8984882753411237,588
OP_0006,noise,0.8698180437663707,342
OP_0012,zero,0.42240385473489417,269
