operator,no_of_bets,game_type,stake_real_money,stake_free_money,payout_base_win,refund_total,adjustment_total,revenue_amt,movement_wager_amt,movement_win_amt,movement_refund_amt,movement_adjustment_amt,is_weekend
OP_0001,101.0,RRI_sports,7081448.0,0.0,4291210.0,0.0,0.0,2790238.0,17259070.0,8721492.0,0.0,0.0,0
OP_0002,4707.0,CTG_multi,12286002.0,0.0,9898330.06,157900.0,0.0,2229771.94,15283924.0,9898330.06,157900.0,0.0,0
OP_0003,833.0,RRI_sports,122522.0,37300.0,4305.0,0.0,0.0,155517.0,280740.0,8610.0,0.0,0.0,0
OP_0004,275.0,CTG_multi,5526866.0,0.0,2533345.0,0.0,0.0,0.0,79981363.98,65332287.3,0.0,0.0,0
OP_0005,2238.0,RRI_slot,1367194.18,0.0,1487409.24,20199.99,0.0,-140415.05,4092314.05,2571492.87,62254.09,0.0,0
OP_0006,1604608.0,CTG_multi,4340922672.62,0.0,1218366880.972,11800.0,0.0,3122543991.648,9286868381.17,5171091609.1449995,493526.71,0.0,0
OP_0007,32490.0,RRI_roulette,98228565.0,0.0,94179477.0,0.0,0.0,4049088.0,2631871610.0,2467156426.0,0.0,0.0,0
OP_0001,38.0,RRI_sports,5133630.0,0.0,2518999.0,0.0,0.0,2614630.0,11838112.0,6560492.0,0.0,0.0,0
OP_0009,56.0,RRI_sports,73000.0,0.0,25368.0,0.0,0.0,47632.0,0.0,0.0,0.0,0.0,0
OP_0002,8329.0,CTG_multi,21011986.0,0.0,12084410.3,222500.0,0.0,8705075.7,23119949.0,12084410.3,222500.0,0.0,0
OP_0003,1083.0,RRI_sports,109945.0,0.0,109271.39,0.0,0.0,673.61,244020.0,218542.78,0.0,0.0,0
OP_0004,684.0,CTG_multi,7361837.91,0.0,2953530.58,0.0,0.0,0.0,35669171.82,25886927.16,0.0,0.0,0
OP_0005,1469.0,RRI_slot,1537499.0,0.0,1363806.1,29400.0,0.0,144292.9,4181931.87,2641420.16,71454.1,0.0,0
OP_0006,946844.0,CTG_multi,2672959439.82,0.0,1376586905.277,40853.0,0.0,1296331681.543,14878654945.26,11055935269.164,12313824.6,0.0,0
OP_0007,31161.0,RRI_roulette,154208508.0,0.0,143140390.0,0.0,0.0,11068118.0,1359181328.0,1221613996.0,0.0,0.0,0
OP_0001,80.0,RRI_sports,6745369.0,0.0,3135060.0,0.0,0.0,3610309.0,6787821.0,3164050.0,0.0,0.0,0
OP_0009,141.0,RRI_sports,216300.0,0.0,0.0,0.0,0.0,216300.0,0.0,0.0,0.0,0.0,0
OP_0002,5825.0,CTG_multi,15346491.0,0.0,6139878.0,0.0,0.0,9206613.0,17628328.0,6139878.0,0.0,0.0,0
OP_0003,623.0,RRI_sports,346765.0,1600.0,247148.81,0.0,0.0,101216.19,753764.0,494297.62,0.0,0.0,0
OP_0004,791.0,CTG_multi,7286558.0,0.0,4313778.07,0.0,0.0,0.0,49853122.0,42324004.88,0.0,0.0,0
OP_0005,2400.0,RRI_slot,1422517.84,0.0,1299738.74,26200.0,0.0,96579.1,4354503.95,2955302.77,68254.1,0.0,0
OP_0006,544960.0,CTG_multi,1737816046.73,0.0,1070591073.24,3691.0,0.0,667221282.49,6440988537.96,4720344142.156,11588783.6,0.0,0
OP_0007,26220.0,RRI_roulette,97020201.0,0.0,89659948.0,0.0,0.0,7360253.0,2449694652.0,2272698036.0,0.0,0.0,0
OP_0001,42.0,RRI_sports,6029850.0,0.0,3456968.0,0.0,0.0,2572882.0,12562216.0,7312082.0,0.0,0.0,0
OP_0009,82.0,RRI_sports,157500.0,0.0,41302.0,0.0,0.0,116198.0,0.0,0.0,0.0,0.0,0
OP_0002,7810.0,CTG_multi,21913863.0,0.0,13020408.93,2000.0,0.0,8891454.07,26063944.0,13020408.93,2000.0,0.0,0
OP_0003,1582.0,RRI_sports,369198.0,1100.0,303353.0,0.0,0.0,66945.0,957358.0,606706.0,0.0,0.0,0
OP_0004,1044.0,CTG_multi,8120344.05,0.0,5171254.53,0.0,0.0,0.0,49442852.1,38922605.06,0.0,0.0,0
OP_0005,2060.0,RRI_slot,849558.0,0.0,887341.0,8231.0,0.0,-46014.0,4032462.82,2356006.79,50285.1,0.0,0
OP_0006,503649.0,CTG_multi,1757198764.99,0.0,1444399514.247,92827.16,0.0,312706423.583,8168782167.92,5466606227.558001,1610174.0599999998,0.0,0
OP_0007,26201.0,RRI_roulette,88865003.0,0.0,74565372.0,0.0,0.0,14299631.0,1322406806.0,1159171977.0,0.0,0.0,0
OP_0001,66.0,RRI_sports,4471972.0,0.0,1536633.0,0.0,0.0,2936752.0,9044504.0,3141976.0,0.0,0.0,0
OP_0009,172.0,RRI_sports,363000.0,0.0,497094.0,0.0,0.0,-134094.0,0.0,0.0,0.0,0.0,0
OP_0002,13531.0,CTG_multi,38378124.0,0.0,39781558.23,7001.0,0.0,-1410435.23,79981072.0,79563116.46,14002.0,0.0,1
OP_0003,3248.0,RRI_sports,812138.0,27100.0,149064.0,0.0,0.0,690174.0,1027336.0,149064.0,0.0,0.0,1
OP_0004,1630.0,CTG_multi,18913821.27,0.0,11202635.76,0.0,0.0,0.0,86138774.96,69170333.52,0.0,0.0,1
OP_0006,1931369.0,CTG_multi,6198299921.7,0.0,5157829124.474,254634.28,0.0,1040216162.946,28163400502.719997,20817613441.448,59081741.78,0.0,1
OP_0007,30512.0,RRI_roulette,90759192.0,0.0,85988255.0,0.0,0.0,4770937.0,2988528564.0,2678684014.0,0.0,0.0,1
OP_0001,117.0,RRI_sports,6900489.0,0.0,4740035.0,0.0,0.0,2160454.0,13810578.0,9485790.0,0.0,0.0,1
OP_0009,302.0,RRI_sports,581500.0,0.0,102934.0,0.0,0.0,478566.0,0.0,0.0,0.0,0.0,1
OP_0002,10474.0,CTG_multi,33481472.0,0.0,32786413.53,0.0,0.0,695058.47,71327974.0,65572827.06,0.0,0.0,1
OP_0003,3070.0,RRI_sports,729845.0,0.0,85245.0,0.0,0.0,644600.0,752560.0,85245.0,0.0,0.0,1
OP_0004,1155.0,CTG_multi,15376535.81,0.0,12520337.12,0.0,0.0,0.0,60409551.620000005,49113912.239999995,0.0,0.0,1
OP_0005,1146.0,RRI_slot,524440.0,0.0,513664.5,8700.0,0.0,2075.5,6746570.52,3316853.92,102108.2,0.0,1
OP_0006,2046170.0,CTG_multi,6289532687.43,0.0,2795685960.32,120511.2,0.0,3493726215.91,24910291411.12,14691725429.78,5841522.9,0.0,1
OP_0007,32126.0,RRI_roulette,114764479.0,0.0,105866371.0,0.0,0.0,8898108.0,3208620884.0,3006761758.0,0.0,0.0,1
OP_0001,86.0,RRI_sports,3384673.0,0.0,27400.0,0.0,0.0,3357273.0,7319182.0,692320.0,0.0,0.0,1
OP_0009,221.0,RRI_sports,399200.0,0.0,187744.0,0.0,0.0,211456.0,0.0,0.0,0.0,0.0,1
OP_0002,6379.0,CTG_multi,20286231.0,0.0,15914867.25,9500.0,0.0,4361863.75,42755400.0,31829734.5,19000.0,0.0,0
OP_0003,709.0,RRI_sports,396018.0,0.0,586251.0,0.0,0.0,-190233.0,822874.0,1172502.0,0.0,0.0,0
OP_0004,739.0,CTG_multi,8897462.27,0.0,8845266.37,0.0,0.0,0.0,26493433.09,21868031.35,0.0,0.0,0
OP_0005,2309.0,RRI_slot,1282529.0,0.0,1264198.14,9730.0,0.0,8600.86,8956688.66,6269014.88,104188.2,0.0,0
OP_0006,925170.0,CTG_multi,2582418806.22,0.0,1974072041.823,15586.01,0.0,608331178.387,15378572067.039995,11748324161.155998,1887279.34,0.0,0
OP_0007,28251.0,RRI_roulette,165585296.0,0.0,132008573.0,0.0,0.0,33576723.0,2924117050.0,2761106142.0,0.0,0.0,0
OP_0001,49.0,RRI_sports,5318908.0,0.0,2940947.0,0.0,0.0,2383411.0,13035208.0,8933932.0,0.0,0.0,0
OP_0009,97.0,RRI_sports,173000.0,0.0,92623.0,0.0,0.0,80377.0,0.0,0.0,0.0,0.0,0
OP_0002,8205.0,CTG_multi,27517021.0,0.0,28624708.65,5000.0,0.0,-1112687.65,57971146.0,57249417.3,10000.0,0.0,0
OP_0003,955.0,RRI_sports,255550.0,0.0,159333.0,0.0,0.0,96217.0,802416.0,318666.0,0.0,0.0,0
OP_0004,874.0,CTG_multi,8990662.55,0.0,6094238.26,0.0,0.0,0.0,37739067.55,35023019.169999994,0.0,0.0,0
OP_0005,1727.0,RRI_slot,393766.76,0.0,346092.56,5190.0,0.0,42484.2,5783146.18,2276854.3600000003,95108.2,0.0,0
OP_0006,706919.0,CTG_multi,2263380550.02,0.0,2210711465.109,82661.0,0.0,52586423.911,17844924788.780003,12897079510.428,7075452.1,0.0,0
OP_0007,35840.0,RRI_roulette,118251984.0,0.0,114953494.0,0.0,0.0,3298490.0,3058572134.0,2733339260.0,0.0,0.0,0
OP_0001,73.0,RRI_sports,7132969.0,0.0,3359501.0,0.0,0.0,3773468.0,14774988.0,7097456.0,0.0,0.0,0
OP_0009,134.0,RRI_sports,261500.0,0.0,0.0,0.0,0.0,261500.0,0.0,0.0,0.0,0.0,0
OP_0002,8123.0,CTG_multi,24980908.0,0.0,25145451.97,35000.0,0.0,-199543.97,52929156.0,50290903.94,70000.0,0.0,0
OP_0003,1339.0,RRI_sports,263949.0,20000.0,226385.85,0.0,0.0,57563.15,583056.0,452771.7,0.0,0.0,0
OP_0004,729.0,CTG_multi,10900905.82,0.0,7599015.58,0.0,0.0,0.0,58523694.94,48943789.739999995,0.0,0.0,0
OP_0005,1852.0,RRI_slot,939914.96,0.0,954177.96,6800.0,0.0,-21063.0,7473532.18,4134332.26,98328.2,0.0,0
OP_0006,928391.0,CTG_multi,3135867520.27,0.0,2418288311.637,2702.0,0.0,717576506.633,19822993928.300007,13943705094.068,1911094.66,0.0,0
OP_0007,35150.0,RRI_roulette,138739547.0,0.0,124326793.0,0.0,0.0,14412754.0,1581356049.0,1429940606.0,0.0,0.0,0
OP_0001,62.0,RRI_sports,6126497.0,0.0,3551998.0,0.0,0.0,2574499.0,6367786.0,3710978.0,0.0,0.0,0
OP_0009,130.0,RRI_sports,235500.0,0.0,38093.0,0.0,0.0,197407.0,0.0,0.0,0.0,0.0,0
OP_0002,7034.0,CTG_multi,20140010.0,0.0,12012972.77,0.0,0.0,8127037.23,45088806.0,24025945.54,0.0,0.0,0
OP_0003,692.0,RRI_sports,195532.0,4000.0,15422.64,0.0,0.0,184109.36,726688.0,30845.28,0.0,0.0,0
OP_0004,605.0,CTG_multi,13011076.93,0.0,11590490.89,0.0,0.0,0.0,71572006.86,61339741.76,0.0,0.0,0
OP_0005,6359.0,RRI_slot,3479853.16,0.0,3126244.99,30050.0,0.0,323558.17,21919887.940000005,15516843.54,144928.2,0.0,0
OP_0006,864626.0,CTG_multi,3073194881.14,0.0,1614486199.889,24010.0,0.0,1458684671.251,18249208810.8,11626839530.962,266513.44,0.0,0
OP_0001,55.0,RRI_sports,6216312.0,0.0,2530197.0,0.0,0.0,3686115.0,7849115.0,4057974.0,0.0,0.0,0
OP_0009,127.0,RRI_sports,202000.0,0.0,9308.0,0.0,0.0,192692.0,0.0,0.0,0.0,0.0,0
OP_0002,8377.0,CTG_multi,21204410.0,0.0,10242755.05,7300.0,0.0,10954354.95,48249670.0,20485510.1,14600.0,0.0,0
OP_0003,2746.0,RRI_sports,234306.0,10200.0,150525.66,0.0,0.0,93980.34,923598.0,301051.32,0.0,0.0,0
OP_0004,865.0,CTG_multi,14883782.63,0.0,7455047.91,0.0,0.0,0.0,106566717.52,94472853.56,0.0,0.0,0
OP_0005,1608.0,RRI_slot,1396389.1,0.0,1478487.5,15700.0,0.0,-97798.4,10048011.76,5869899.2,116228.2,0.0,0
OP_0006,1049296.0,CTG_multi,3272539629.58,0.0,1977702505.862,38405.0,0.0,1294798718.718,19746946518.6,12683609790.262,5958435.9,0.0,0
OP_0007,34848.0,RRI_roulette,133764357.0,0.0,126548949.0,0.0,0.0,7215408.0,1478027222.0,1329301110.0,0.0,0.0,0
OP_0001,71.0,RRI_sports,4419942.0,0.0,1942497.0,0.0,0.0,2477445.0,5800342.0,3271219.0,0.0,0.0,0
OP_0009,144.0,RRI_sports,218500.0,0.0,0.0,0.0,0.0,218500.0,0.0,0.0,0.0,0.0,0
OP_0002,13156.0,CTG_multi,42856025.0,0.0,27365772.81,10425.0,0.0,15479827.19,46843544.0,27365772.81,10425.0,0.0,1
OP_0010,10114.0,CTG_multi,49486338.29,36000.0,32935283.0,293341.0,0.0,13400225.64,410509168.0200001,320892831.8600001,586682.0,0.0,1
OP_0003,3506.0,RRI_sports,1002533.0,23000.0,263705.1,0.0,0.0,761827.9,2076170.0,527410.2,0.0,0.0,1
OP_0004,1283.0,CTG_multi,16047196.0,0.0,8730576.91,0.0,0.0,0.0,85568790.0,63558121.2,0.0,0.0,1
OP_0005,2555.0,RRI_slot,1356931.47,0.0,1170277.0,3000.0,0.0,183654.47,7158736.539999999,4693094.13,45364.1,0.0,1
OP_0006,1718728.0,CTG_multi,5912553895.59,0.0,4986793553.298,470367.0,0.0,925289975.292,28717426350.91999,20465170847.82,20797064.48,0.0,1
OP_0007,35636.0,RRI_roulette,110800264.0,0.0,102819159.0,0.0,0.0,7981105.0,1632986101.0,1482828515.0,0.0,0.0,1
OP_0001,137.0,RRI_sports,7718226.0,0.0,2737177.0,0.0,0.0,4981049.0,8255236.0,3244592.0,0.0,0.0,1
OP_0009,260.0,RRI_sports,391600.0,0.0,0.0,0.0,0.0,391600.0,0.0,0.0,0.0,0.0,1
OP_0002,11401.0,CTG_multi,31699734.0,0.0,33350383.77,10599.0,0.0,-1661248.77,33226154.0,33350383.77,10599.0,0.0,1
OP_0003,3147.0,RRI_sports,1098977.0,11200.0,1310260.65,100000.0,0.0,-300083.65,2237670.0,2620521.3,200000.0,0.0,1
OP_0004,997.0,CTG_multi,13576473.37,0.0,8454810.31,0.0,0.0,0.0,76664231.96,62892273.32000001,0.0,0.0,1
OP_0005,1866.0,RRI_slot,836067.53,0.0,707192.7,5500.0,0.0,123374.83,4817536.660000001,3907917.63,49204.1,0.0,1
OP_0006,2400107.0,CTG_multi,7132371755.65,0.0,4191304210.734,1901.0,0.0,2941065643.916,13506906163.22,8614539109.900002,1950723.29,0.0,1
OP_0007,35971.0,RRI_roulette,117824003.0,0.0,105900730.0,0.0,0.0,11923273.0,3147719376.0,2891467822.0,0.0,0.0,1
OP_0001,98.0,RRI_sports,4773970.0,0.0,1352199.0,0.0,0.0,3421771.0,10241174.0,3260216.0,0.0,0.0,1
OP_0009,265.0,RRI_sports,456000.0,0.0,205340.0,0.0,0.0,250660.0,0.0,0.0,0.0,0.0,1
OP_0002,5922.0,CTG_multi,13845888.0,0.0,14536055.98,3000.0,0.0,-693167.98,16210054.0,14536055.98,3000.0,0.0,0
OP_0003,1056.0,RRI_sports,454120.0,1000.0,531722.19,5000.0,0.0,-81602.19,1336398.0,1063444.38,10000.0,0.0,0
OP_0004,620.0,CTG_multi,7273436.68,0.0,5480750.05,0.0,0.0,0.0,45753866.56,34006286.14000001,0.0,0.0,0
OP_0005,1155.0,RRI_slot,459420.98,0.0,467657.48,6300.0,0.0,-14536.5,3272549.9699999997,11757604.26,49904.1,0.0,0
OP_0006,844855.0,CTG_multi,2631766553.29,0.0,2221024990.968,22801.0,0.0,410718761.322,7884377725.75,5778063448.425,2031787.73,0.0,0
OP_0007,33804.0,RRI_roulette,133742727.0,0.0,122463115.0,0.0,0.0,11279612.0,1633389894.0,1568999871.0,0.0,0.0,0
OP_0001,57.0,RRI_sports,4405298.0,0.0,3767298.0,0.0,0.0,638000.0,8906396.0,7611494.0,0.0,0.0,0
OP_0009,108.0,RRI_sports,181000.0,0.0,213550.0,0.0,0.0,-32550.0,0.0,0.0,0.0,0.0,0
OP_0002,10948.0,CTG_multi,28759246.0,0.0,19328166.89,0.0,0.0,9431079.11,61353706.0,38656333.78,0.0,0.0,0
OP_0003,3417.0,RRI_sports,861307.0,906.0,500751.48,0.0,0.0,361461.52,885007.0,500751.48,0.0,0.0,0
OP_0004,1089.0,CTG_multi,16971165.37,0.0,7354185.95,0.0,0.0,0.0,76080040.74000001,52193182.28,0.0,0.0,0
