operator,cluster,tier,movement_wager_mean,movement_win_mean,stake_mean
OP_0001,0,low,4502215.9812030075,840136.969924812,1744816.932330827
OP_0002,1,mid,46551987.639053255,17981727.994585797,24061588.946745563
OP_0003,0,low,1959478.5,1003972.150948718,1054810.6747982546
OP_0004,1,mid,66167507.98811225,5490888.7906802725,6330715.652091837
OP_0005,1,mid,177103145.70047617,21691399.90095238,22840869.573386244
OP_0006,-1,noise,19497557612.905495,3826535710.2125645,5004564784.33152
OP_0007,2,high,6065327833.444777,173978961.57313433,193064466.21492538
OP_0009,-1,noise,0.0,159164.03903903905,243449.84984984985
OP_0010,1,mid,100405617.16984732,5881888.416717557,8007154.969160305
OP_0011,2,high,990568407.5340647,233889267.37244606,265169090.7784892
OP_0012,-1,noise,0.0,6151.2215613382905,99003.60782935943
OP_0013,0,low,15737712.113603238,100399.35400809717,124127.58514170042
OP_0015,0,low,6509788.226720648,604543.6437246964,719505.8160095951
OP_0016,1,mid,69195165.94468085,16854053.4,24489556.038297873
OP_0017,-1,noise,0.0,1096407397.6940298,1136871653.5447762
OP_0020,1,mid,112744016.4537037,5921650.546296297,9181459.657407407
OP_0022,0,low,13962362.252515336,434041.1547239264,488033.3794420825
OP_0023,1,mid,283922240.97315437,14484777.825503355,14146887.134228189
OP_0024,1,mid,58474711.40634615,10097729.263461538,12301381.979807692
OP_0025,0,low,4308048.571428572,125674.48299319728,181190.71353790406
OP_0028,0,low,589373.9915966387,116083.79831932773,136155.50420168068
